"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AMST-150gw","The American War in Viet Nam","","4.0 units","Lecture","10338R","001","9:30-10:50am","Tue, Thu","125","125","0","Viet Nguyen","SGM124"
"","","","","Discussion","10339R","001","12:00-12:50pm","Wednesday","25","17","0","","VKC252"
"","","","","Discussion","10340R","001","2:00-2:50pm","Monday","25","17","0","","THH B9"
"","","","","Discussion","10341R","001","10:00-10:50am","Wednesday","25","20","0","","VKC209"
"","","","","Discussion","10342R","001","1:00-1:50pm","Wednesday","25","22","0","","VKC252"
"","","","","Discussion","10343R","001","1:00-1:50pm","Monday","25","22","0","","THH B9"
"","","","","Discussion","10344R","001","11:00-11:50am","Friday","25","6","0","","WPH106"
"","","","","Discussion","10345R","001","9:00-9:50am","Wednesday","25","12","0","","VKC211"
"","","","","Discussion","10346R","001","10:00-10:50am","Friday","25","9","0","","WPH106"
"CLAS-160gp","Ancient Lives","","4.0 units","Lecture","19820R","001","2:00-3:20pm","Tue, Thu","62","62","0","Vincent Farenga","THH301"
"","","","","Discussion","19821R","001","2:00-2:50pm","Monday","25","25","0","","VKC207"
"","","","","Discussion","19822R","001","3:00-3:50pm","Monday","25","18","0","","VKC207"
"","","","","Discussion","19823R","001","8:00-8:50am","Friday","25","0","0","","VKC151"
"","","","","Discussion","19824R","001","9:00-9:50am","Friday","25","19","0","","VKC157"
"ENGL-230g","Shakespeare and His Times","","4.0 units","Lecture","32607R","001","11:00-12:20pm","Tue, Thu","99","99","0","Rebecca Lemon","THH301"
"","","","","Discussion","32890R","001","12:30-1:20pm","Tuesday","25","25","0","","VKC258"
"","","","","Discussion","32892R","001","5:00-5:50pm","Tuesday","25","16","0","Kerry Ingram","THH214"
"","","","","Discussion","32893R","001","3:30-4:20pm","Thursday","25","12","0","Kerry Ingram","VKC158"
"","","","","Discussion","32894R","001","5:00-5:50pm","Thursday","25","11","0","Alexander Young","THH214"
"","","","","Discussion","32895R","001","10:00-10:50am","Friday","25","19","0","","THH B9"
"","","","","Discussion","32896R","001","12:00-12:50pm","Friday","25","16","0","","THH B9"
"ENGL-299g","Introduction to the Genre of Poetry","","4.0 units","Lecture","32644R","001","12:30-1:50pm","Tue, Thu","99","99","0","Susan McCabe","THH201"
"","","","","Discussion","32881R","001","9:00-9:50am","Wednesday","25","25","0","","VKC256"
"","","","","Discussion","32883R","001","11:00-11:50am","Wednesday","25","25","0","","VKC157"
"","","","","Discussion","32885R","001","9:00-9:50am","Thursday","25","14","0","","SOS B48"
"","","","","Discussion","32886R","001","11:00-11:50am","Thursday","25","25","0","","SOS B48"
"","","","","Discussion","32887R","001","9:00-9:50am","Friday","25","2","0","","VKC256"
"","","","","Discussion","32889R","001","11:00-11:50am","Friday","25","8","0","","VKC157"
"PHIL-260g","Ethical Theory and Practice","","4.0 units","Lecture","49363R","001","3:30-4:45pm","Tue, Thu","99","97","0","Jacob Ross","THH301"
"","","","","Discussion","49364R","001","8:00-8:50am","Monday","25","8","0","","MHP102"
"","","","","Discussion","49365R","001","9:00-9:50am","Monday","25","25","0","","MHP102"
"","","","","Discussion","49366R","001","8:00-8:50am","Wednesday","25","11","0","","MHP102"
"","","","","Discussion","49367R","001","9:00-9:50am","Wednesday","25","25","0","","MHP102"
"","","","","Discussion","49381R","001","8:00-8:50am","Friday","25","4","0","","MHP102"
"","","","","Discussion","49382R","001","9:00-9:50am","Friday","25","24","0","","MHP102"
"SWMS-301gm","Feminist Theory: an Introduction","","4.0 units","Lecture-Discussion","34919D","001","3:30-4:50pm","Mon, Wed","19","11","0","Sunyoung Park","THH108"
"","","","","Lecture","34924R","001","11:00-12:20pm","Tue, Thu","36","36","0","Karina Eileraas","VKC152"
"","","","","Discussion","34925R","001","5:00-5:50pm","Tuesday","25","25","0","","THH213"
"","","","","Discussion","34926R","001","5:00-5:50pm","Thursday","24","11","0","","THH213"
