"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EASC-160gmp","China and the World","","4.0 units","Lecture","25833R","001","2:00-3:20pm","Tue, Thu","200","200","0","Brett Sheehan","THH201"
"","","","","Discussion","25819R","001","9:00-9:50am","Tuesday","25","25","0","","THH B9"
"","","","","Discussion","25823R","001","9:00-9:50am","Thursday","25","25","0","","THH B9"
"","","","","Discussion","25834R","001","10:00-10:50am","Monday","25","25","0","","VKC155"
"","","","","Discussion","25835R","001","1:00-1:50pm","Monday","25","25","0","","VKC155"
"","","","","Discussion","25836R","001","10:00-10:50am","Wednesday","25","25","0","","VKC155"
"","","","","Discussion","25837R","001","1:00-1:50pm","Wednesday","25","25","0","","VKC155"
"","","","","Discussion","25838R","001","11:00-11:50am","Friday","25","25","0","","VKC207"
"","","","","Discussion","25839R","001","12:00-12:50pm","Friday","25","25","0","","VKC207"
"EASC-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","25828D","001","TBA","TBA","10","0","0","","OFFICE"
"EASC-590","Directed Research","","1.0-12.0 units","Lecture","25840D","001","TBA","TBA","10","0","0","","OFFICE"
"EASC-594a","Master's Thesis","","2.0 units","Lecture","25843R","001","TBA","TBA","10","0","0","","OFFICE"
"EASC-594b","Master's Thesis","","2.0 units","Lecture","25844R","001","TBA","TBA","10","0","0","","OFFICE"
"EASC-594z","Master's Thesis","","0.0 units","Lecture","25845R","001","TBA","TBA","10","1","0","","OFFICE"
